manufacturer_sku,ean13,system__creation__date,weight,length,width,height,cost_price,min_price,product__product_class__name,product__brand__name,product__title,product__description,product__bullets_0,product__bullets_1,product__bullets_2,product__bullets_3,product__bullets_4,product__bullets_5,product__bullets_6,product__multipack_quantity,product__country_of_origin__alpha_3,attrib__arm_height,attrib__bulb_included,attrib__bulb_type,attrib__color,attrib__cord_length,attrib__designer,attrib__finish,attrib__kit,attrib__material,attrib__number_bulbs,attrib__outdoor_safe,attrib__pile_height,attrib__seat_height,attrib__switch_type,attrib__ul_certified,attrib__wattage,attrib__weight_capacity,boxes__0__weight,boxes__0__length,boxes__0__height,boxes__0__width,boxes__1__weight,boxes__1__length,boxes__1__height,boxes__1__width,boxes__2__weight,boxes__2__length,boxes__2__height,boxes__2__width,product__styles
203,810937002035,2015-07-07,6.0,18.0,18.0,36.0,456.0,304.0,Indoor Lighting,Dimond Lighting,White Obelisk Table Lamp With Night Light,,8-Inch wide base,,,,,,,1.0,CHN,,No,A21 3-Way,,66.0,,White,No,Glass,1.0,No,,,3-Way,UL,100.0,,10.0,19.0,34.0,19.0,,,,,,,,,
205,810937002059,2015-07-07,12.0,18.0,18.0,31.0,459.0,306.0,Indoor Lighting,Dimond Lighting,Antiqued Porcelain Table Lamp In Celadon Crackle Finish,,12-Inch wide base,,,,,,,1.0,CHN,,No,A21 3-Way,,66.0,,Celadon,No,Ceramic,1.0,No,,,3-Way,UL,100.0,,14.0,21.0,18.2,18.2,,,,,,,,,
208,81093700208,2015-07-07,7.0,10.0,10.0,27.0,402.0,268.0,Indoor Lighting,Dimond Lighting,Bisque Ceramic Table Lamp In Taupe,,10-Inch wide base,,,,,,,1.0,CHN,,No,A21 3-Way,,66.0,,Taupe,No,Ceramic,1.0,No,,,3-Way,UL,100.0,,10.0,27.7,12.0,12.0,,,,,,,,,
210,810937002103,2015-07-07,8.0,20.0,20.0,25.0,303.0,202.0,Indoor Lighting,Dimond Lighting,Recycled Fluted Glass Urn Table Lamp In Blue,,14-Inch wide base,,,,,,,1.0,CHN,,No,A21 3-Way,,66.0,,Blue,No,"Recycled Glass, Acrylic",1.0,No,,,3-Way,UL,100.0,,10.0,21.0,23.0,21.0,,,,,,,,,
217,810937002172,2015-07-07,10.0,18.0,18.0,34.0,438.0,292.0,Indoor Lighting,Dimond Lighting,Fluted Mercury Glass Table Lamp In Silver,,9-Inch wide base,,,,,,,1.0,CHN,,No,A21 3-Way,,66.0,,Silver,No,Glass,1.0,No,,,3-Way,UL,100.0,,12.0,25.9,18.2,18.2,,,,,,,,,
239,810937002394,2015-07-07,7.0,18.0,18.0,28.0,315.0,210.0,Indoor Lighting,Dimond Lighting,Amber Crackle Arctic Glass Table Lamp,,6-Inch wide base,,,,,,,1.0,CHN,,No,A21 3-Way,,,,Amber Crackle,No,Glass,1.0,No,,,3-Way,UL,100.0,,10.0,19.0,21.3,19.0,,,,,,,,,
248,810937002486,2015-07-07,10.0,16.0,16.0,24.0,318.0,212.0,Indoor Lighting,Dimond Lighting,Ribbed Terra Cotta Table Lamp In Tomato Red,,9-Inch wide base,,,,,,,1.0,CHN,,No,A21 3-Way,,,,Tomato Red,No,Ceramic,1.0,No,,,3-Way,UL,100.0,,12.0,25.5,14.5,11.5,,,,,,,,,"Transitional,Coastal,Beach,Boho"
271,810937002714,2015-07-07,8.0,18.0,18.0,28.0,363.0,242.0,Indoor Lighting,Dimond Lighting,Ceramic Ball Table Lamp In White And Amethyst,,12-Inch wide base,,,,,,,1.0,CHN,,No,A21 3-Way,,,,White,No,Ceramic,1.0,No,,,3-Way,UL,100.0,,11.0,29.7,14.0,16.2,,,,,,,,,
276,810937002769,2015-07-07,10.0,16.0,16.0,30.0,297.0,198.0,Indoor Lighting,Dimond Lighting,Earthenware Pineapple Top Ceramic Table Lamp,,6-Inch wide base,,,,,,,1.0,CHN,,No,A21 3-Way,,,,Matte,No,Ceramic,1.0,No,,,3-Way,UL,100.0,,13.0,18.0,25.3,18.0,,,,,,,,,
281,810937002813,2015-07-07,18.0,18.0,18.0,64.0,810.0,540.0,Indoor Lighting,Dimond Lighting,Modern Wood and White Bisque Ceramic Floor Lamp,,10-Inch wide base,,,,,,,1.0,CHN,,No,A21 3-Way,,,,"Modern Wood, White Bisque",No,"Ceramic, Wood",1.0,No,,,3-Way,UL,150.0,,20.0,50.3,19.0,19.0,,,,,,,,,
285,810937002851,2015-07-07,11.0,18.0,18.0,32.0,492.0,328.0,Indoor Lighting,Dimond Lighting,Lattice-Handled Ceramic Urn Table Lamp In White,,base measures 12.5x18,,,,,,,1.0,CHN,,No,A21 3-Way,,,,Porcelain,No,Ceramic,1.0,No,,,3-Way,UL,150.0,,12.0,37.0,18.2,18.2,,,,,,,,,
287,810937002875,2015-07-07,6.0,7.0,7.0,14.0,168.0,112.0,Indoor Lighting,Dimond Lighting,White Ceramic Up-Light,,,,,,,,,1.0,CHN,,No,A19,,,,White,No,Porcelain,1.0,No,,,On-Off Line Switch,UL,60.0,,7.0,18.0,8.2,8.2,,,,,,,,,
289,810937002899,2015-07-07,7.0,15.0,14.0,24.0,318.0,212.0,Indoor Lighting,Dimond Lighting,Jute-Wrapped Mercury Glass Table Lamp,,6.5-Inch wide base,,,,,,,1.0,CHN,,No,A21 3-Way,,66.0,,Mercury,No,"Glass, Componise",1.0,No,,,3-Way,UL,100.0,,10.0,26.2,15.2,15.2,,,,,,,,,
316,810937003162,2015-07-07,10.0,14.0,14.0,33.0,285.0,190.0,Indoor Lighting,Dimond Lighting,Serrated Venetian Glass Table Lamp In Clear And Gold,,6-Inch wide base,,,,,,,1.0,CHN,,No,A21 3-Way,,66.0,,Clear,No,Glass,1.0,No,,,3-Way,UL,100.0,,12.0,12.0,23.5,12.0,,,,,,,,,
319,810937003193,2015-07-07,10.0,10.0,19.0,27.0,300.0,200.0,Indoor Lighting,Dimond Lighting,Hand Blown Oval Glass Table Lamp In Orange,,10-Inch wide base,,,,,,,1.0,CHN,,No,A21 3-Way,,,,Orange,No,Glass,1.0,No,,,3-Way,UL,100.0,,12.0,20.0,19.3,17.0,,,,,,,,,
340,810937003407,2015-07-07,12.0,18.0,18.0,32.0,543.0,362.0,Indoor Lighting,Dimond Lighting,Bisque Ceramic Table Lamp In Dark Taupe,,10-Inch wide base,,,,,,,1.0,CHN,,No,A21 3-Way,,,,Dark Taupe,No,Ceramic,1.0,No,,,3-Way,UL,100.0,,14.0,35.3,18.5,18.5,,,,,,,,,
352,81093700352,2015-07-07,5.0,10.0,19.0,26.0,417.0,278.0,Indoor Lighting,Dimond Lighting,Wild Wheat Acrylic Table Lamp With Night Light,,10-Inch wide base,,,,,,,1.0,CHN,,No,A21 3-Way,,,,Beige,No,"Grass, Polyresin",1.0,No,,,3-Way,UL,100.0,,7.0,20.3,10.2,17.5,,,,,,,,,
401,810937004015,2015-07-07,2.0,12.0,12.0,16.25,369.0,246.0,Indoor Lighting,Dimond Lighting,Cigar Pendant In White,,,,,,,,,1.0,CHN,,No,A19,,,,White,No,Rice Paper,1.0,No,,,,UL,100.0,,4.0,18.2,12.0,12.0,,,,,,,,,"Modern,Contemporary,Scandinavian,Mid-CenturyModern"
402,810937004022,2015-07-07,8.0,10.0,10.0,22.0,477.0,318.0,Indoor Lighting,Dimond Lighting,Cigar Swingarm Wall Sconce In White,,20.5-Inch wide base,,,,,,,1.0,CHN,,No,A19,,,,Satin Nickel,No,Metal,1.0,No,,,,UL,100.0,,9.0,22.6,12.0,12.0,,,,,,,,,"Modern,Contemporary,Scandinavian,Mid-CenturyModern"
444,810937004442,2015-07-07,18.0,14.0,14.0,64.0,930.0,620.0,Indoor Lighting,Dimond Lighting,Wooden Tulip Floor Lamp,,10-Inch wide base,,,,,,,1.0,CHN,,No,A21 3-Way,,72.0,,Wood Tone,No,"Metal, Wood",1.0,No,,,3-Way,UL,100.0,,29.0,17.0,41.0,16.0,,,,,,,,,
500,810937005005,2015-07-07,10.0,16.0,16.0,30.0,369.0,246.0,Indoor Lighting,Dimond Lighting,Aspen Bark Table Lamp,,6.5-Inch wide base,,,,,,,1.0,CHN,,No,A21 3-Way,,66.0,,Natural,No,"Bark, Metal",1.0,No,,,3-Way,UL,100.0,,13.0,18.0,24.0,17.0,,,,,,,,,
505,81093700505,2015-07-07,11.0,15.0,15.0,26.0,408.0,272.0,Indoor Lighting,Dimond Lighting,Hand Applied Natural Shells Table Lamp,,8-Inch wide base,,,,,,,1.0,CHN,,No,A21 3-Way,,,,Natural,No,"Metal, Shell",1.0,No,,,3-Way,UL,100.0,,12.0,28.0,15.8,15.8,,,,,,,,,
590,810937005906,2015-07-07,9.0,20.0,21.0,31.0,282.0,188.0,Indoor Lighting,Dimond Lighting,Carved Horse Table Lamp,,19-Inch wide base,,,,,,,1.0,CHN,,No,A21 3-Way,,66.0,,Natural,No,Composite,1.0,No,,,3-Way,UL,100.0,,12.0,21.3,21.5,11.5,,,,,,,,,
671,810937006712,2015-07-07,21.0,17.0,11.0,42.0,369.0,246.0,Indoor Lighting,Dimond Lighting,Pharmacy Floor Lamp In Bronze,,,,,,,,,1.0,CHN,,Yes,,,72.0,,Bronze,No,Metal,1.0,No,,,,UL,,,10.0,11.0,23.0,5.0,,,,,,,,,
704,810937007047,2015-07-07,27.0,15.0,15.0,28.0,423.0,282.0,Indoor Lighting,Dimond Lighting,Crystal Ballustrade Table Lamp,,6-Inch wide base,,,,,,,1.0,CHN,,No,A21 3-Way,,66.0,,Clear,No,Crystal,1.0,No,,,3-Way,UL,100.0,,30.0,30.0,15.5,15.5,,,,,,,,,
722,810937007221,2015-07-07,15.0,16.0,9.0,27.0,405.0,270.0,Indoor Lighting,Dimond Lighting,Crystal Rectangular Urn Table Lamp,,9-Inch wide base,,,,,,,1.0,CHN,,No,A21 3-Way,,66.0,,Clear,No,Crystal,1.0,No,,,3-Way,UL,100.0,,18.0,16.0,12.0,12.0,,,,,,,,,
729,81093700729,2015-07-07,18.0,15.0,18.0,32.0,639.0,426.0,Indoor Lighting,Dimond Lighting,Crystal Faceted Column Table Lamp,,5-Inch wide base,,,,,,,1.0,CHN,,No,A21 3-Way,,66.0,,Clear,No,Crystal,1.0,No,,,3-Way,UL,100.0,,20.0,20.0,19.0,20.0,,,,,,,,,
801,810937008013,2015-07-07,20.0,18.0,18.0,65.0,810.0,540.0,Indoor Lighting,Dimond Lighting,Distressed Acacia Wood Floor Lamp,,11-Inch wide base,,,,,,,2.0,CHN,,No,A21 3-Way,,,,Distressed Wood Tone,No,Wood,1.0,No,,,3-Way,UL,100.0,,18.0,12.0,52.0,12.0,4.0,16.0,20.0,20.0,,,,,
807,810937008075,2015-07-07,12.0,18.0,18.0,28.0,603.0,402.0,Indoor Lighting,Dimond Lighting,Curved Block Solid Wood Table Lamp,,10-Inch wide base,,,,,,,1.0,CHN,,No,A21 3-Way,,66.0,,Natural,No,Wood,1.0,No,,,3-Way,UL,100.0,,14.0,29.0,19.0,19.0,,,,,,,,,
