product__brand__name,boxes__0__length,attrib__seat_width,boxes__0__height,product__country_of_origin__alpha_3,attrib__wattage,boxes__1__height,cost_price,product__styles,boxes__2__weight,boxes__2__length,attrib__color,length,attrib__kit,boxes__2__width,boxes__0__weight,attrib__switch_type,weight,attrib__material,attrib__arm_height,boxes__0__width,boxes__1__length,product__product_class__name,attrib__number_bulbs,attrib__cord_length,boxes__2__height,boxes__1__width,attrib__finish,attrib__weight_capacity,height,attrib__seat_height,attrib__ul_certified,boxes__1__weight,width,min_price,attrib__bulb_type,attrib__outdoor_safe
Dimond Lighting,19.0,,34.0,China,100.0,,228.0,Modern / Contemporary,,,,18.0,No,,10.0,3-Way,6.0,Glass,,19.0,,Indoor Lighting,1.0,66.0,,,White,,36.0,,UL,,18.0,304.0,A21 3-Way,No
Dimond Lighting,21.0,,18.2,China,100.0,,229.5,Traditional,,,,18.0,No,,14.0,3-Way,12.0,Ceramic,,18.2,,Indoor Lighting,1.0,66.0,,,Celadon,,31.0,,UL,,18.0,306.0,A21 3-Way,No
Dimond Lighting,27.7,,12.0,China,100.0,,201.0,Modern / Contemporary,,,,10.0,No,,10.0,3-Way,7.0,Ceramic,,12.0,,Indoor Lighting,1.0,66.0,,,Taupe,,27.0,,UL,,10.0,268.0,A21 3-Way,No
Dimond Lighting,21.0,,23.0,China,100.0,,151.5,Traditional,,,,20.0,No,,10.0,3-Way,8.0,"Recycled Glass, Acrylic",,21.0,,Indoor Lighting,1.0,66.0,,,Blue,,25.0,,UL,,20.0,202.0,A21 3-Way,No
Dimond Lighting,25.9,,18.2,China,100.0,,219.0,Modern / Contemporary,,,,18.0,No,,12.0,3-Way,10.0,Glass,,18.2,,Indoor Lighting,1.0,66.0,,,Silver,,34.0,,UL,,18.0,292.0,A21 3-Way,No
Dimond Lighting,19.0,,21.3,China,100.0,,157.5,Transitional,,,,18.0,No,,10.0,3-Way,7.0,Glass,,19.0,,Indoor Lighting,1.0,,,,Amber Crackle,,28.0,,UL,,18.0,210.0,A21 3-Way,No
Dimond Lighting,25.5,,14.5,China,100.0,,159.0,Transitional,,,,16.0,No,,12.0,3-Way,10.0,Ceramic,,11.5,,Indoor Lighting,1.0,,,,Tomato Red,,24.0,,UL,,16.0,212.0,A21 3-Way,No
Dimond Lighting,29.7,,14.0,China,100.0,,181.5,Traditional,,,,18.0,No,,11.0,3-Way,8.0,Ceramic,,16.2,,Indoor Lighting,1.0,,,,White,,28.0,,UL,,18.0,242.0,A21 3-Way,No
Dimond Lighting,18.0,,25.3,China,100.0,,148.5,Traditional,,,,16.0,No,,13.0,3-Way,10.0,Ceramic,,18.0,,Indoor Lighting,1.0,,,,Matte,,30.0,,UL,,16.0,198.0,A21 3-Way,No
Dimond Lighting,50.3,,19.0,China,150.0,,405.0,Modern / Contemporary,,,,18.0,No,,20.0,3-Way,18.0,"Ceramic, Wood",,19.0,,Indoor Lighting,1.0,,,,"Modern Wood, White Bisque",,64.0,,UL,,18.0,540.0,A21 3-Way,No
Dimond Lighting,37.0,,18.2,China,150.0,,246.0,,,,,18.0,No,,12.0,3-Way,11.0,Ceramic,,18.2,,Indoor Lighting,1.0,,,,Porcelain,,32.0,,UL,,18.0,328.0,A21 3-Way,No
Dimond Lighting,18.0,,8.2,China,60.0,,84.0,,,,,7.0,No,,7.0,On-Off Line Switch,6.0,Porcelain,,8.2,,Indoor Lighting,1.0,,,,White,,14.0,,UL,,7.0,112.0,A19,No
Dimond Lighting,26.2,,15.2,China,100.0,,159.0,Transitional,,,,15.0,No,,10.0,3-Way,7.0,"Glass, Componise",,15.2,,Indoor Lighting,1.0,66.0,,,Mercury,,24.0,,UL,,14.0,212.0,A21 3-Way,No
Dimond Lighting,12.0,,23.5,China,100.0,,142.5,Traditional,,,,14.0,No,,12.0,3-Way,10.0,Glass,,12.0,,Indoor Lighting,1.0,66.0,,,Clear,,33.0,,UL,,14.0,190.0,A21 3-Way,No
Dimond Lighting,20.0,,19.3,China,100.0,,150.0,Modern / Contemporary,,,,10.0,No,,12.0,3-Way,10.0,Glass,,17.0,,Indoor Lighting,1.0,,,,Orange,,27.0,,UL,,19.0,200.0,A21 3-Way,No
Dimond Lighting,35.3,,18.5,China,100.0,,271.5,Transitional,,,,18.0,No,,14.0,3-Way,12.0,Ceramic,,18.5,,Indoor Lighting,1.0,,,,Dark Taupe,,32.0,,UL,,18.0,362.0,A21 3-Way,No
Dimond Lighting,20.3,,10.2,China,100.0,,208.5,Modern / Contemporary,,,,10.0,No,,7.0,3-Way,5.0,"Grass, Polyresin",,17.5,,Indoor Lighting,1.0,,,,Beige,,26.0,,UL,,19.0,278.0,A21 3-Way,No
Dimond Lighting,18.2,,12.0,China,100.0,,184.5,Modern / Contemporary,,,,12.0,No,,4.0,,2.0,Rice Paper,,12.0,,Indoor Lighting,1.0,,,,White,,16.25,,UL,,12.0,246.0,A19,No
Dimond Lighting,22.6,,12.0,China,100.0,,238.5,Modern / Contemporary,,,,10.0,No,,9.0,,8.0,Metal,,12.0,,Indoor Lighting,1.0,,,,Satin Nickel,,22.0,,UL,,10.0,318.0,A19,No
Dimond Lighting,17.0,,41.0,China,100.0,,465.0,Modern / Contemporary,,,,14.0,No,,29.0,3-Way,18.0,"Metal, Wood",,16.0,,Indoor Lighting,1.0,72.0,,,Wood Tone,,64.0,,UL,,14.0,620.0,A21 3-Way,No
Dimond Lighting,18.0,,24.0,China,100.0,,184.5,Transitional,,,,16.0,No,,13.0,3-Way,10.0,"Bark, Metal",,17.0,,Indoor Lighting,1.0,66.0,,,Natural,,30.0,,UL,,16.0,246.0,A21 3-Way,No
Dimond Lighting,28.0,,15.8,China,100.0,,204.0,Modern / Contemporary,,,,15.0,No,,12.0,3-Way,11.0,"Metal, Shell",,15.8,,Indoor Lighting,1.0,,,,Natural,,26.0,,UL,,15.0,272.0,A21 3-Way,No
Dimond Lighting,21.3,,21.5,China,100.0,,141.0,Traditional,,,,20.0,No,,12.0,3-Way,9.0,Composite,,11.5,,Indoor Lighting,1.0,66.0,,,Natural,,31.0,,UL,,21.0,188.0,A21 3-Way,No
Dimond Lighting,11.0,,23.0,China,,,184.5,Traditional,,,,17.0,No,,10.0,,21.0,Metal,,5.0,,Indoor Lighting,1.0,72.0,,,Bronze,,42.0,,UL,,11.0,246.0,,No
Dimond Lighting,30.0,,15.5,China,100.0,,211.5,Traditional,,,,15.0,No,,30.0,3-Way,27.0,Crystal,,15.5,,Indoor Lighting,1.0,66.0,,,Clear,,28.0,,UL,,15.0,282.0,A21 3-Way,No
Dimond Lighting,16.0,,12.0,China,100.0,,202.5,Traditional,,,,16.0,No,,18.0,3-Way,15.0,Crystal,,12.0,,Indoor Lighting,1.0,66.0,,,Clear,,27.0,,UL,,9.0,270.0,A21 3-Way,No
Dimond Lighting,20.0,,19.0,China,100.0,,319.5,Traditional,,,,15.0,No,,20.0,3-Way,18.0,Crystal,,20.0,,Indoor Lighting,1.0,66.0,,,Clear,,32.0,,UL,,18.0,426.0,A21 3-Way,No
Dimond Lighting,12.0,,52.0,China,100.0,20.0,405.0,Traditional,,,,18.0,No,,18.0,3-Way,20.0,Wood,,12.0,16.0,Indoor Lighting,1.0,,,20.0,Distressed Wood Tone,,65.0,,UL,4.0,18.0,540.0,A21 3-Way,No
Dimond Lighting,29.0,,19.0,China,100.0,,301.5,Traditional,,,,18.0,No,,14.0,3-Way,12.0,Wood,,19.0,,Indoor Lighting,1.0,66.0,,,Natural,,28.0,,UL,,18.0,402.0,A21 3-Way,No
Dimond Lighting,20.0,,8.0,China,5.0,,172.5,Modern / Contemporary,,,,13.0,No,,9.8,Line Switch,8.0,Metal,,14.0,,Indoor Lighting,1.0,,,,Chrome,,18.0,,UL,,6.0,230.0,Integrated LED,No
Dimond Home,,,,,,,209.925,,,,,,,,,,,,,,,Wall Decor,,,,,"Brown, Mirror",,34.0,,,,34.0,279.9,,No
Dimond Lighting,30.0,,19.0,China,100.0,,234.0,Transitional,,,,18.0,No,,12.0,,10.0,Metal,,19.0,,Indoor Lighting,1.0,,,,Brass,,26.0,,UL,,18.0,312.0,A19,No
Dimond Lighting,30.0,,19.0,China,100.0,,199.5,Traditional,,,,18.0,No,,12.0,,10.5,Ceramic,,19.0,,Indoor Lighting,1.0,66.0,,,Light Blue,,29.0,,UL,,18.0,266.0,A19,No
Dimond Lighting,18.0,,10.0,China,100.0,,192.0,Traditional,,,,8.5,No,,11.0,,9.5,"Crystal, Metal",,10.0,,Indoor Lighting,1.0,66.0,,,Clear,,16.0,,UL,,8.5,256.0,A19,No
Dimond Lighting,30.0,,18.0,China,100.0,,208.5,Modern / Contemporary,,,,17.0,No,,11.0,Night Light Socket,9.0,Glass,,18.0,,Indoor Lighting,1.0,66.0,,,Clear,,29.0,,UL,,17.0,278.0,A19,No
